[2025-06-20 10:43:22 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:43:23 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:44:40 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:44:41 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:44:41 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:45:02 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:45:02 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:45:03 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:51:19 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:51:19 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:51:19 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:54:34 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:54:35 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:54:35 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:57:11 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:57:11 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:57:11 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 11:30:21 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:30:21 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:30:22 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:34:23 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:34:23 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:34:24 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:34:56 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:34:56 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:34:56 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:35:26 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:35:26 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:35:26 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 11:38:01 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:38:01 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:38:01 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:38:36 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:38:36 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:38:36 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:44:24 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:44:24 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:44:25 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:45:43 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:45:43 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 11:45:43 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:13:22 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:13:26 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:13:26 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:13:38 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:14:39 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:17:08 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 07:17:24 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:15 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:15 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:15 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 07:18:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 07:21:15 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:21:15 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:21:16 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 07:24:34 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:24:34 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 07:24:35 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:11:44 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:11:44 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:11:44 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:12:36 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:12:36 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:12:37 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
